Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_A,2010,27.5,2178,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2011,25.6,2176,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2012,27.1,1368,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2013,26.8,2981,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2014,26.1,2576,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2015,23.9,2378,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2016,26,1939,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2017,25.7,2614,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2018,27,2132,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2019,26.3,2203,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2020,26.4,1724,Tropical seasonal forest/savanna,Especie típica del bioma
localidad_A,2021,26,3053,Tropical seasonal forest/savanna,Especie típica del bioma
