Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_B,2010,26.4,20,Subtropical desert,Larrea tridentata
localidad_B,2011,28.6,15,Subtropical desert,Larrea tridentata
localidad_B,2012,28.4,20,Subtropical desert,Larrea tridentata
localidad_B,2013,26.4,15,Subtropical desert,Larrea tridentata
localidad_B,2014,27.1,14,Subtropical desert,Larrea tridentata
localidad_B,2015,28.4,21,Subtropical desert,Larrea tridentata
localidad_B,2016,25.7,14,Subtropical desert,Larrea tridentata
localidad_B,2017,26.5,19,Subtropical desert,Larrea tridentata
localidad_B,2018,26,15,Subtropical desert,Larrea tridentata
localidad_B,2019,26.7,23,Subtropical desert,Larrea tridentata
localidad_B,2020,26.5,20,Subtropical desert,Larrea tridentata
localidad_B,2021,27.7,16,Subtropical desert,Larrea tridentata
