Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_C,2010,21.2,522,Subtropical desert,Larrea tridentata
localidad_C,2011,20.7,555,Subtropical desert,Larrea tridentata
localidad_C,2012,18.8,516,Subtropical desert,Larrea tridentata
localidad_C,2013,20,507,Subtropical desert,Larrea tridentata
localidad_C,2014,19.1,380,Subtropical desert,Larrea tridentata
localidad_C,2015,20.7,509,Subtropical desert,Larrea tridentata
localidad_C,2016,19.4,375,Subtropical desert,Larrea tridentata
localidad_C,2017,19.9,676,Subtropical desert,Larrea tridentata
localidad_C,2018,18.7,439,Subtropical desert,Larrea tridentata
localidad_C,2019,19,553,Subtropical desert,Larrea tridentata
localidad_C,2020,20.4,596,Subtropical desert,Larrea tridentata
localidad_C,2021,19,538,Subtropical desert,Larrea tridentata
