Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_D,2010,3.8,854,Boreal forest,Picea mariana
localidad_D,2011,1.2,1023,Boreal forest,Picea mariana
localidad_D,2012,2.7,862,Boreal forest,Picea mariana
localidad_D,2013,1,742,Boreal forest,Picea mariana
localidad_D,2014,4.7,1092,Boreal forest,Picea mariana
localidad_D,2015,3,1400,Boreal forest,Picea mariana
localidad_D,2016,1.8,584,Boreal forest,Picea mariana
localidad_D,2017,3.1,1160,Boreal forest,Picea mariana
localidad_D,2018,0.8,785,Boreal forest,Picea mariana
localidad_D,2019,4,1051,Boreal forest,Picea mariana
localidad_D,2020,0.8,600,Boreal forest,Picea mariana
localidad_D,2021,0.3,820,Boreal forest,Picea mariana
