Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_E,2010,8.3,483,Woodland/shrubland,Quercus coccifera
localidad_E,2011,8.9,495,Woodland/shrubland,Quercus coccifera
localidad_E,2012,8.2,455,Woodland/shrubland,Quercus coccifera
localidad_E,2013,9.9,481,Woodland/shrubland,Quercus coccifera
localidad_E,2014,11,570,Woodland/shrubland,Quercus coccifera
localidad_E,2015,8.9,679,Woodland/shrubland,Quercus coccifera
localidad_E,2016,9.2,530,Woodland/shrubland,Quercus coccifera
localidad_E,2017,8.2,587,Woodland/shrubland,Quercus coccifera
localidad_E,2018,10.7,577,Woodland/shrubland,Quercus coccifera
localidad_E,2019,10.2,772,Woodland/shrubland,Quercus coccifera
localidad_E,2020,7.6,965,Woodland/shrubland,Quercus coccifera
localidad_E,2021,11.3,493,Woodland/shrubland,Quercus coccifera
