Localidad,Anio,Temp_media_C,Precip_anual_mm,Bioma_Whittaker,Especie_Dominante
localidad_F,2010,9.8,172,Temperate grassland/desert,Stipa spp.
localidad_F,2011,10.1,147,Temperate grassland/desert,Stipa spp.
localidad_F,2012,7.8,167,Temperate grassland/desert,Stipa spp.
localidad_F,2013,8.6,150,Temperate grassland/desert,Stipa spp.
localidad_F,2014,5.4,123,Temperate grassland/desert,Stipa spp.
localidad_F,2015,8.1,169,Temperate grassland/desert,Stipa spp.
localidad_F,2016,6.8,185,Temperate grassland/desert,Stipa spp.
localidad_F,2017,7.3,165,Temperate grassland/desert,Stipa spp.
localidad_F,2018,8.2,165,Temperate grassland/desert,Stipa spp.
localidad_F,2019,8.7,158,Temperate grassland/desert,Stipa spp.
localidad_F,2020,7.4,181,Temperate grassland/desert,Stipa spp.
localidad_F,2021,10.7,118,Temperate grassland/desert,Stipa spp.
